day,value
2016-01-18,21.0
2016-01-19,14.0
2016-01-20,21.0
2016-01-21,24.0
2016-01-22,33.0
2016-01-23,35.0
2016-01-24,28.0
2016-01-25,22.0
2016-01-26,27.0
2016-01-27,22.0
2016-01-28,29.0
2016-01-29,33.0
2016-01-30,23.0
2016-01-31,21.0
2016-02-01,16.0
2016-02-02,NA
2016-02-03,NA
2016-02-04,16.0
2016-02-05,21.0
2016-02-06,16.0
2016-02-07,10.0
2016-02-08,14.0
2016-02-09,26.0
2016-02-10,12.0
2016-02-11,8.0
2016-02-12,12.0
2016-02-13,10.0
2016-02-14,8.0
2016-02-15,8.0
2016-02-16,12.0
2016-02-17,NA
2016-02-18,16.0
2016-02-19,22.0
2016-02-20,20.0
2016-02-21,19.0
2016-02-22,25.0
2016-02-23,29.0
2016-02-24,20.0
2016-02-25,18.0
2016-02-26,10.0
2016-02-27,8.0
2016-02-28,8.0
2016-02-29,12.0
2016-03-01,10.0
2016-03-02,13.0
2016-03-03,8.0
2016-03-04,10.0
2016-03-05,8.0
2016-03-06,8.0
2016-03-07,8.0
2016-03-08,8.0
2016-03-09,10.0
2016-03-10,11.0
2016-03-11,14.0
2016-03-12,16.0
2016-03-13,24.0
2016-03-14,19.0
2016-03-15,18.0
2016-03-16,15.0
2016-03-17,10.0
2016-03-18,17.0
2016-03-19,10.0
2016-03-20,8.0
2016-03-21,12.0
2016-03-22,16.0
2016-03-23,16.0
2016-03-24,16.0
2016-03-25,15.0
2016-03-26,20.0
2016-03-27,9.0
2016-03-28,14.0
2016-03-29,NA
2016-03-30,13.0
2016-03-31,16.0
2016-04-01,8.0
2016-04-02,13.0
2016-04-03,12.0
2016-04-04,12.0
2016-04-05,8.0
2016-04-06,12.0
2016-04-07,11.0
2016-04-08,8.0
2016-04-09,16.0
2016-04-10,11.0
2016-04-11,14.0
2016-04-12,12.0
2016-04-13,NA
2016-04-14,23.0
2016-04-15,15.0
2016-04-16,NA
2016-04-17,NA
2016-04-18,12.0
2016-04-19,16.0
2016-04-20,NA
2016-04-21,13.0
2016-04-22,20.0
2016-04-23,17.0
2016-04-24,14.0
2016-04-25,NA
2016-04-26,14.0
2016-04-27,8.0
2016-04-28,9.0
2016-04-29,11.0
2016-04-30,12.0
2016-05-01,12.0
2016-05-02,8.0
2016-05-03,11.0
2016-05-04,14.0
2016-05-05,11.0
2016-05-06,9.0
2016-05-07,9.0
2016-05-08,8.0
2016-05-09,10.0
2016-05-10,11.0
2016-05-11,14.0
2016-05-12,13.0
2016-05-13,11.0
2016-05-14,11.0
2016-05-15,10.0
2016-05-16,11.0
2016-05-17,12.0
2016-05-18,16.0
2016-05-19,21.0
2016-05-20,11.0
2016-05-21,19.0
2016-05-22,10.0
2016-05-23,16.0
2016-05-24,11.0
2016-05-25,9.0
2016-05-26,8.0
