,PM10 (µg/m³),PM2.5 (µg/m³),As (ng/m³),Ni (ng/m³),Cd (ng/m³),Pb (ng/m³),C6H6 (µg/m³),B(a)p (ng/m³),Dades pendents de validació
16/08/2013,20,11,1,3.4,0.4,10,0.7,0,
17/08/2013,16,9,1,2,0.4,10,Sense dades,0,
18/08/2013,21,13,1,5.5,0.4,10,Sense dades,0,
19/08/2013,20,13,1,3.2,0.4,10,0.5,0,
20/08/2013,22,11,1,2.1,0.4,10,0.8,0,
21/08/2013,26,15,1,3.3,0.4,10,0.8,0,
22/08/2013,24,14,1,4,0.4,10,1.1,0,
23/08/2013,24,13,1,4.3,0.4,10,1,0,
24/08/2013,19,12,1,3.1,0.4,10,Sense dades,0,
25/08/2013,16,8,1,2,0.4,10,Sense dades,0,
26/08/2013,15,8,1,2,0.4,10,0.8,0,
27/08/2013,15,10,1,2.6,0.4,10,0.9,0,
28/08/2013,17,11,1,4.2,0.4,10,1,0,
29/08/2013,20,14,1,2.4,0.4,10,1.1,0,
30/08/2013,27,18,1,4.5,0.4,10,1.3,0,
31/08/2013,26,18,1,3.9,0.4,10,Sense dades,0,
01/09/2013,24,18,1,4.1,0.4,10,Sense dades,0,
02/09/2013,26,19,1,4.9,0.4,10,1.5,0,
03/09/2013,26,15,1,3.5,0.5,10,1,0,
04/09/2013,24,13,1,3.8,0.4,10,1.1,0,
05/09/2013,31,17,1,16.9,0.4,10,1.4,0,
06/09/2013,31,17,1,5.8,0.4,10,1.1,0,
07/09/2013,21,13,1,2.1,0.4,10,Sense dades,0,
08/09/2013,16,8,1,2.5,0.4,10,Sense dades,0,
09/09/2013,17,9,1,2,0.4,10,0.9,0,
10/09/2013,19,12,1,2.3,0.4,10,0.8,0,
11/09/2013,9,10,1,2,0.4,10,Sense dades,0,
12/09/2013,17,10,1,2.3,0.4,10,1.1,0,
13/09/2013,20,12,1,3.2,0.4,10,1.3,0,
14/09/2013,25,14,1,2.3,0.4,10,Sense dades,0,
15/09/2013,17,8,1,2,0.4,10,Sense dades,0,
16/09/2013,21,11,1,2,0.4,10,1.3,0.1,
17/09/2013,19,8,1,2,0.4,10,0.9,0,
18/09/2013,18,8,1,2,0.4,10,1.2,0,
19/09/2013,23,8,1,3,0.4,20,1,0,
20/09/2013,26,10,1,2.6,0.4,10,1.6,0.1,
21/09/2013,23,10,1,7.1,0.4,10,Sense dades,0,
22/09/2013,21,12,4.5,3.7,0.5,20,Sense dades,0.1,
23/09/2013,20,11,1,2.5,0.4,10,1.1,0,
24/09/2013,22,14,1,3.9,0.4,10,Sense dades,0,
25/09/2013,25,14,1,4.8,0.4,10,1.3,0,
26/09/2013,21,13,1,4.6,0.4,10,1.4,0,
27/09/2013,26,13,1,7.6,0.4,10,1.5,0.1,
28/09/2013,24,11,1,3.1,0.4,10,Sense dades,0,
29/09/2013,14,8,1,2,0.4,10,Sense dades,0,
30/09/2013,26,10,1,2.6,0.4,10,1.4,0.1,
01/10/2013,31,14,1,5.6,0.4,10,1.8,0.1,
02/10/2013,20,10,1,3.8,0.4,10,1.1,0,
03/10/2013,20,8,1,2.3,0.4,10,0.7,0,
04/10/2013,22,12,1,3.3,0.4,10,Sense dades,0,
05/10/2013,13,8,1,2.7,0.4,10,Sense dades,0,
06/10/2013,11,8,1,2,0.4,10,Sense dades,0,
07/10/2013,11,8,1,2,0.4,10,1.5,0,
08/10/2013,16,8,1,3.7,0.4,10,1.3,0,
09/10/2013,13,8,1,3.2,0.4,10,1.5,0,
10/10/2013,18,11,1,3.6,0.4,10,0.8,0,
11/10/2013,11,12,1,2,0.4,10,Sense dades,0,
12/10/2013,14,8,1,2.1,0.4,10,Sense dades,0.1,
13/10/2013,18,10,1,3.1,0.4,10,Sense dades,0,
14/10/2013,27,17,1,4.6,0.4,10,1.7,0.1,
15/10/2013,35,19,1,4.5,0.4,20,1.8,0.1,
16/10/2013,27,14,1,3.5,0.4,10,1.5,0.1,
17/10/2013,26,12,1,3.3,0.4,10,2.1,0.1,
18/10/2013,30,16,1,7.2,0.4,20,2,0.1,
19/10/2013,21,11,1,3.3,0.4,10,Sense dades,0.1,
20/10/2013,26,16,1,7.1,0.4,10,Sense dades,0,
21/10/2013,35,21,1,11.2,0.4,10,1.5,0.1,
22/10/2013,40,19,1,8.3,0.4,40,2.2,0.1,
23/10/2013,24,12,1,4.1,0.4,10,2.6,0.1,
24/10/2013,24,11,1,4.3,0.4,30,1.6,0.1,
25/10/2013,24,11,1,4.8,0.4,30,Sense dades,0.1,
26/10/2013,28,12,1,2.6,0.4,10,Sense dades,0,
27/10/2013,24,11,1,2,0.4,10,Sense dades,0,
28/10/2013,32,14,1,5.8,0.4,10,1.6,0.1,
29/10/2013,30,15,1,5.3,0.4,20,1.5,0.3,
30/10/2013,28,14,1,6.3,0.4,10,1.9,0.2,
31/10/2013,30,15,1,4.9,0.4,10,1.7,0.2,
01/11/2013,28,14,1,4.3,0.4,20,Sense dades,0.2,
02/11/2013,22,11,1,3.1,0.4,10,Sense dades,0.1,
03/11/2013,21,8,1,2.4,0.4,10,Sense dades,0.1,
04/11/2013,20,12,1,2,0.4,10,Sense dades,0,
05/11/2013,17,9,1,3,0.4,10,1.8,0.1,
06/11/2013,21,10,1,4.4,0.4,10,2.5,0.2,
07/11/2013,27,14,1,5.2,0.5,10,3.9,0.3,
08/11/2013,30,16,1,4.4,0.4,10,2.4,0.2,
09/11/2013,21,10,1,2.1,0.4,10,Sense dades,0.1,
10/11/2013,24,11,1,2.4,0.4,10,Sense dades,0.1,
11/11/2013,30,13,1,3.6,0.4,10,2.5,0.2,
12/11/2013,37,17,1,5.2,0.4,20,3.6,0.4,
13/11/2013,29,12,1,8.1,0.4,10,Sense dades,0.2,
14/11/2013,25,11,1,3.4,0.4,10,1.5,0.1,
15/11/2013,32,16,1,2,0.4,10,1.2,0.2,
16/11/2013,9,Sense dades,1,2,0.4,10,Sense dades,0,
17/11/2013,8,Sense dades,1,2,0.4,10,Sense dades,0,
18/11/2013,14,Sense dades,1,2,0.4,10,1,0,
19/11/2013,8,Sense dades,1,2,0.4,10,1.6,0.4,
20/11/2013,9,8,1,2,0.4,10,1.5,0.1,
21/11/2013,10,8,1,2,0.4,10,1.6,0.1,
22/11/2013,9,8,1,2,0.4,10,1.8,0.1,
23/11/2013,12,9,1,2,0.4,10,Sense dades,0.3,
24/11/2013,14,11,1,2,0.4,10,Sense dades,0.4,
25/11/2013,17,11,1,2,0.4,10,2.4,0.3,
26/11/2013,19,10,1,2,0.4,10,1.8,0.2,
27/11/2013,15,12,1,2,0.4,10,1.9,0.2,
28/11/2013,27,16,1,4.4,0.4,20,2.6,0.4,
29/11/2013,34,23,1,2.9,0.4,10,2.2,0.4,
30/11/2013,25,20,1,2,0.4,10,Sense dades,0.4,
01/12/2013,17,8,1,2.5,0.4,10,Sense dades,0.2,
02/12/2013,16,10,1,2,0.4,10,1.7,0.2,
03/12/2013,42,20,1,5.9,0.6,10,3.1,0.7,
04/12/2013,44,26,1,8.3,0.4,20,3.3,0.7,
05/12/2013,32,24,1,3,0.4,10,1.9,0.3,
06/12/2013,19,16,1,2,0.4,10,Sense dades,0.1,
07/12/2013,30,22,1,3.6,0.4,20,Sense dades,0.7,
08/12/2013,29,21,1,2,0.4,20,Sense dades,0.6,
09/12/2013,38,28,1,5.7,0.4,10,3.1,0.6,
10/12/2013,48,33,1,7.4,1.2,20,3.3,0.9,
11/12/2013,38,30,1,7.3,0.4,10,2.7,0.7,
12/12/2013,39,24,1,6.9,0.4,10,3.2,0.7,
13/12/2013,Sense dades,26,Sense dades,Sense dades,Sense dades,Sense dades,2.5,Sense dades,
14/12/2013,35,25,1,4.6,0.4,10,Sense dades,0.4,
15/12/2013,27,26,1,2.8,0.4,10,Sense dades,0.6,
16/12/2013,30,21,1,2.6,0.4,10,1.8,0.5,
17/12/2013,40,25,1,5.8,0.5,20,2.8,0.7,
18/12/2013,40,27,1,6.8,0.4,10,Sense dades,0.6,
19/12/2013,29,20,1,3.1,0.4,10,2.4,0.4,
20/12/2013,30,19,1,5.1,0.4,10,2.3,0.7,
21/12/2013,24,16,1,2.2,0.4,10,Sense dades,0.6,
22/12/2013,26,19,1,3.6,0.4,10,Sense dades,0.7,
23/12/2013,30,20,1,3.7,0.4,10,2.4,0.7,
24/12/2013,32,17,1,3.5,0.4,10,1.7,0.3,
25/12/2013,15,8,1,2,0.4,10,Sense dades,0.1,
26/12/2013,8,Sense dades,1,2,0.4,10,Sense dades,0,
27/12/2013,16,9,1,3,0.4,10,2.6,0.2,
28/12/2013,13,10,1,2,0.4,10,Sense dades,0.3,
29/12/2013,10,8,1,2,0.4,10,Sense dades,0.3,
30/12/2013,16,12,1,2.1,0.4,10,1.5,0.5,
31/12/2013,24,15,1,3.7,0.4,10,2.2,0.6,
01/01/2014,22,14,1,2.6,Sense dades,50,Sense dades,Sense dades,
